date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-06-05,wednesday,kandilli,23.02,27,dinner,tarhana corba,etli patlican dolma,zy. patlican dolma,"gul boregi, soslu makarna","sutlu irmik tatli, meyve, soda"
2024-06-06,thursday,kandilli,21.95,35,dinner,mahluta corba,rosto kofte,zy. bamya,"pirinc pilavi, eriste","ayran, salata, meyve"
2024-06-07,friday,kandilli,21.31,32,dinner,domates corba,pilic kulbasti,patates graten,"penne makarna, misirli pirinc pilavi","soda, meyve, havuc tarator"
2024-06-08,saturday,kandilli,21.1,15,dinner,koylu corba,pilicli patlican kebap,imambayildi,"kuskus, pirinc pilavi","cacik, meyve, zerde tatlisi"
2024-06-09,sunday,kandilli,21.44,1,dinner,anadolu corbasi,etli taze fasulye,zy. taze fasulye,"pirinc pilavi, bulgur pilavi","fanta, meyve, visne soslu muhallebi"
2024-06-10,monday,kandilli,23.19,6,dinner,antep corba,kiymali ispanak,ispanak yemegi,"eriste, su boregi","kazandibi, meyve, gazoz"
2024-06-11,tuesday,kandilli,28.45,10,dinner,mantar corba,kiymali patates oturtma,etsiz patates yemegi,"soslu spagetti, melek pilavi","dondurma, mercimek kofte, limonata"
2024-06-12,wednesday,kandilli,24.52,11,dinner,domates corba,ciftlik kebabi,etsiz taze fasulye,"domatesli bulgur pilavi, pirinc pilavi","yogurt, meyve, sutlac"
2024-06-13,thursday,kandilli,24.98,8,dinner,koy corbasi,kadinbudu kofte,mucver,"peynirli makarna, zy. orbit fasulye","soda, salata, meyve"
2024-06-14,friday,kandilli,19.47,7,dinner,romen corba,tavuk fajita,falafel,"soslu makarna, zerdecalli pirinc pilavi","fanta, meyve, salata"
2024-06-15,saturday,kandilli,20.3,1,dinner,tarhana corba,kiymali yesil mercimek,yesil mercimek yemegi,"tepsi boregi, eriste","mozaik pasta, meyve, patates salata"
2024-06-16,sunday,kandilli,21.8,0,dinner,antep corba,eksili kofte,etsiz bezelye,"soslu makarna, gul boregi","meyve suyu, salata, gazoz"
2024-06-17,monday,kandilli,22.3,2,dinner,sultan corba,etli kabak dolma,zy.kabak dolma,"karisik kizartma, soslu makarna","meyve, acili ezme, visneli soda"
2024-06-18,tuesday,kandilli,22.36,3,dinner,antep corba,pureli rosto kofte,etsiz kuru fasulye,"bulgur pilavi, pirinc pilavi","salata, revani, meyve"
2024-06-19,wednesday,kandilli,21.86,1,dinner,yayla corba,karniyarik,imambayildi,"domatesli bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, tulumba tatlisi"
2024-06-20,thursday,kandilli,22.55,1,dinner,suzme mercimek corba,meksika soslu tavuk,patates graten,"penne makarna, melek pilavi","ayran, meyve, keskul"
2024-06-21,friday,kandilli,22.84,4,dinner,sehriye corba,etli taze fasulye,etsiz taze fasulye,"bulgur pilavi, pirinc pilavi","yogurt, meyve, gazoz"
2024-06-22,saturday,kandilli,21.45,22,dinner,soguk ayranasi corba,nugget + patates,nohutlu kabak yemegi,"firin makarna, arpa sehriyeli pilav","fanta, amerikan salata, meyve"
2024-06-23,sunday,kandilli,21.73,29,dinner,safak corba,etli barbunya,sicak barbunya,"bulgur pilavi, pirinc pilavi","tursu, meyve, limonata"
2024-06-24,monday,kandilli,21.77,66,dinner,tarhana corba,mantarli tavuk sote,mantar yemegi,"melek pilavi, soslu makarna","limonata, meyve, coban salata"
2024-06-25,tuesday,kandilli,22.05,55,dinner,mantar corba,kiymali yesil mercimek,yesil mercimek yemegi,"su boregi, soslu spagetti","hayrabolu tatlisi, meyve, salata"
2024-06-26,wednesday,kandilli,22.14,64,dinner,domates corba,orman kebabi,bezelye yemegi,"bulgur pilavi, melek pilavi","yogurt, komposto, salata"
2024-06-27,thursday,kandilli,21.55,64,dinner,antep corba,sucuklu kuru fasulye,etsiz kuru fasulye,"meyhane pilavi, pirinc pilavi","tursu, ayran, meyve"
2024-06-28,friday,kandilli,22.6,41,dinner,yogurtlu nane corba,etli taze fasulye,etsiz taze fasulye,"pirinc pilavi, soslu makarna","kazandibi, meyve, salata"
2024-06-29,saturday,kandilli,22.52,65,dinner,mercimek corba,beef navarin,zy.brokoli,"pirinc pilavi, soslu makarna","salata, ayran, meyve"
2024-06-30,sunday,kandilli,22.92,74,dinner,yayla corba,izmir kofte,patlican yemegi,"pirinc pilavi, bulgur pilavi","kabak borani, fanta, salata"
2024-01-01,monday,ahisari,14.58,65,lunch,toyga corba,adana kofte,bugdayli pazi,mercimekli bulgur pilavi,"salata, meyve, portakalli gazoz"
2024-01-02,tuesday,ahisari,12.63,1007,lunch,alaca corba,tas kebabi,zy. bruksel lahanasi,eriste,"profiterol, mor salata, gazoz"
2024-01-03,wednesday,ahisari,14.18,1005,lunch,kafkas corba,meksika soslu tavuk,zy.kereviz,"nohutlu pirinc pilavi, kuskus","salata, ayran, lokma tatlisi"
2024-01-04,thursday,ahisari,15.45,733,lunch,tavuk suyu corba,kiymali ispanak,bugdayli nohutlu ispanak,"soslu makarna, su boregi","puding, salata, meyve"
2024-01-05,friday,ahisari,14.11,732,lunch,safak corba,bahcivan kebabi,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","cacik, soda, salata"
2024-01-06,saturday,ahisari,14.88,82,lunch,mercimek corba,etli bezelye,etsiz bezelye,bulgur pilavi,"yogurt, salata, gazoz"
2024-01-07,sunday,ahisari,14.05,149,lunch,tarhana corba,sebzeli tavuk sote,zy.pirasa,"zerdecalli pirinc pilavi, kuskus","mor salata, meyve, soda"
2024-01-08,monday,ahisari,14.18,859,lunch,mahluta corba,etli mantar sote,mantar sote,peynirli makarna,"lokma tatlisi, ayran, salata"
2024-01-09,tuesday,ahisari,4.03,636,lunch,andaloz corba,et doner,saksuka,bulgur pilavi,"sutlac, soda, yogurt"
2024-01-10,wednesday,ahisari,4.21,380,lunch,sef'in corbasi,etli nohut,etsiz nohut,bulgur pilavi,"yogurt, salata, portakalli gazoz"
2024-01-11,thursday,ahisari,4.8,508,lunch,kabak corba,etli guvec,sebze guvec,"arpa sehriye pilavi, bulgur pilavi","ayran, meyve, salata"
2024-01-12,friday,ahisari,4.4,407,lunch,yayla corba,izmir kofte,zy.orbit fasulye,soslu makarna,"haydari, meyve, limonata"
2024-01-13,saturday,ahisari,3.33,66,lunch,koy corbasi,kori soslu tavuk sote,zy.barbunya,"soslu spagetti, nohutlu pirinc pilavi","kazandibi, salata, meyve"
2024-01-14,sunday,ahisari,5.46,33,lunch,domates corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, soslu makarna","tulumba tatlisi, mor salata, portakalli gazoz"
2024-01-15,monday,ahisari,11.28,170,lunch,tarhana corba,tavuk doner,saksuka,soslu makarna,"meyve, profiterol, ayran"
2024-01-16,tuesday,ahisari,9.76,158,lunch,krutonlu domates corba,soslu mitite kofte,zy.kereviz,"bulgur pilavi, nohutlu pirinc pilavi","piyaz, soda, meyve"
2024-01-17,wednesday,ahisari,11.86,167,lunch,toyga corba,etli mantar sote,sebzeli mantar graten,zerdecalli makarna,"tulumba tatlisi, meyve, salata"
2024-01-18,thursday,ahisari,14.13,100,lunch,yayla corba,sucuklu kuru fasulye,gemici usulu kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-01-19,friday,ahisari,16.48,76,lunch,koylu corba,firin tavuk sis,falafel,soslu makarna,"amerikan salata, gazoz, meyve"
2024-01-20,saturday,ahisari,5.58,8,lunch,naneli yogurt corba,firin kofte + patates,zy.orbit fasulye,soslu makarna,"ispanak tarator, gazoz, meyve"
2024-01-21,sunday,ahisari,5.88,3,lunch,sef'in corbasi,tavuk schnitzel,zy. bruksel lahanasi,"soslu makarna, nohutlu pirinc pilavi","salata, meyve, portakalli gazoz"
2024-01-22,monday,ahisari,5.5,31,lunch,suzme mercimek corba,orman kebabi,sebze graten,bulgur pilavi,"limonata, meyve, mercimek kofte"
2024-01-23,tuesday,ahisari,7.5,32,lunch,antep corba,icli kofte,mucver,"firin makarna, zy.orbit fasulye","soda, mevsim salata, ayran"
2024-01-24,wednesday,ahisari,6.26,18,lunch,tarhana corba,etli turlu,sebze turlu,meyhane pilavi,"salata, meyve, muzlu puding"
2024-01-25,thursday,ahisari,8.78,18,lunch,mahluta corba,etli nohut,etsiz nohut,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, salata, meyve"
2024-01-26,friday,ahisari,8.11,15,lunch,safak corba,etli bezelye,etsiz bezelye,mercimekli bulgur pilavi,"ayran, salata, meyve"
2024-01-27,saturday,ahisari,8.06,4,lunch,antep corba,izmir kofte,zy. bruksel lahanasi,"misirli eriste, garniturlu pirinc pilavi","ayran, meyve, salata"
2024-01-28,sunday,ahisari,5.6,0,lunch,alaca corba,kiymali karnabahar,karnabahar graten,soslu makarna,"yogurt, gazoz, salata"
2024-01-29,monday,ahisari,4.38,16,lunch,tarhana corba,tas kebabi,falafel,"melek pilavi, bulgur pilavi","soda, salata, revani"
2024-01-30,tuesday,ahisari,5.36,22,lunch,yayla corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, sehriyeli pirinc pilavi","salata, meyve, cilekli puding"
2024-01-31,wednesday,ahisari,6.53,33,lunch,mercimek corba,iskender kebap,mucver,soslu makarna,"mor salata, meyve, portakalli gazoz"
2024-02-01,thursday,ahisari,7.48,32,lunch,kafkas corba,firin hindi,mantar sote,"ic pilavi, cevizli eriste","gazoz, havuc borani, salata"
2024-02-02,friday,ahisari,8.08,20,lunch,ezogelin corba,pideli kofte,harput kofte,"arpa sehriyeli pirinc pilavi, mercimekli bulgur pilavi","soda, sekerpare, meyve"
2024-02-03,saturday,ahisari,8.78,8,lunch,sehriye corba,bahcivan kebabi,bugdayli pazi,kuskus,"yogurt, meyve, soda"
2024-02-04,sunday,ahisari,8.8,10,lunch,gendime corba,adana kofte,zy.brokoli,soslu makarna,"meyve, salata, soda"
2024-02-05,monday,ahisari,13.88,139,lunch,alaca corba,etli taze fasulye,etsiz taze fasulye,bulgur pilavi,"kabak tatlisi, mevsim salata, soda"
2024-02-06,tuesday,ahisari,16.03,191,lunch,mercimek corba,etli biber dolma,zy.dolma,"gul boregi, soslu makarna","salata, limonata, meyve"
2024-02-07,wednesday,ahisari,16.31,197,lunch,domates corba,balik pane,mucver,"zy. orbit fasulye, soslu makarna","helva, roka salatasi, meyve suyu"
2024-02-08,thursday,ahisari,17.28,203,lunch,andaloz corba,firin kofte,pirasa yemegi,peynirli makarna,"muzlu puding, yesil salata, soda"
2024-02-09,friday,ahisari,16.11,225,lunch,sehriye corba,arnavut cigeri,falafel,bulgur pilavi,"ayran, cevizli baklava, mevsim salata"
2024-02-10,saturday,ahisari,16.7,35,lunch,sifa corba,etli barbunya,zy.barbunya,bulgur pilavi,"yogurt, mevsim salata, gazoz"
2024-02-11,sunday,ahisari,17.44,61,lunch,elvankiz corba,tas kebabi,zy.kereviz,soslu makarna,"pembe sultan, meyve, ayran"
2024-02-12,monday,ahisari,16.38,979,lunch,kabak corba,izgara tavuk,zy. bruksel lahanasi,"peynirli makarna, sehriyeli pirinc pilavi","ayran, mevsim salata, meyve"
2024-02-13,tuesday,ahisari,14.36,1059,lunch,mercimek corba,kabak begendili kebap,zy.brokoli,bulgur pilavi,"sutlac, meyve, mevsim salata"
2024-02-14,wednesday,ahisari,9.08,1050,lunch,mercimek corba,hasanpasa kofte,falafel,bulgur pilavi,"supangle, portakalli gazoz, mevsim salata"
2024-02-15,thursday,ahisari,6.58,990,lunch,gendime corba,cin usulu  tavuk sote,sebze buketi,mercimekli bulgur pilavi,"meyve, mevsim salata, gazoz"
2024-02-16,friday,ahisari,7.33,730,lunch,domates corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, mevsim salata, ayran"
2024-02-17,saturday,ahisari,7.58,103,lunch,tarhana corba,bahcivan kebabi,karnabahar yemegi,kuskus,"mevsim salata, meyve, supangle"
2024-02-18,sunday,ahisari,7.23,72,lunch,kafkas corba,etli taze fasulye,etsiz taze fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","mevsim salata, meyve, gazoz"
2024-02-19,monday,ahisari,8.14,1117,lunch,alaca corba,meksika usulu tavuk,zy.brokoli,zerdecalli makarna,"fanta, meyve, mor salata"
2024-02-20,tuesday,ahisari,9.28,865,lunch,antep corba,etli kuru fasulye,gemici usulu kuru fasulye,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, ayran, mevsim salata"
2024-02-21,wednesday,ahisari,10.68,1132,lunch,suzme mercimek corba,izgara tavuk,mucver,soslu makarna,"supangle, ayran, mevsim salata"
2024-02-22,thursday,ahisari,11.78,817,lunch,tarhana corba,etli turlu,sebze turlu,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-02-23,friday,ahisari,15.63,990,lunch,ezogelin corba,et doner,kereviz yemegi,sogan halkasi,"ayran, mevsim salata, meyve"
2024-02-24,saturday,ahisari,17.48,120,lunch,kafkas corba,soslu mitite kofte,sebze graten,soslu makarna,"ayran, mevsim salata, meyve"
2024-02-25,sunday,ahisari,18.53,91,lunch,antep corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, limonata, mevsim salata"
2024-02-26,monday,ahisari,14.86,1003,lunch,elvankiz corba,tavuklu mantar sote,mantar sote,"misirli pirinc pilavi, bulgur pilavi","kazandibi, soda, mevsim salata"
2024-02-27,tuesday,ahisari,12.68,844,lunch,gendime corba,etli bezelye,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","yogurt, mevsim salata, fanta"
2024-02-28,wednesday,ahisari,13.03,1136,lunch,krutonlu domates corba,tavuk doner,falafel,soslu spagetti,"sekerpare, ayran, mevsim salata"
2024-02-29,thursday,ahisari,15.61,1042,lunch,tarhana corba,izmir kofte,zy.brokoli,soslu makarna,"limonata, coleslaw salata, meyve"
2024-03-01,friday,ahisari,16.75,940,lunch,ezogelin corba,tavuklu bofstraganof,mantar sote,soslu makarna,"gazoz, profiterol, yesil salata"
2024-03-02,saturday,ahisari,14.16,83,lunch,domates corba,ciftlik kofte,sebze sote,napoliten soslu makarna,"fanta, meyve, tulumba tatlisi"
2024-03-03,sunday,ahisari,11.16,75,lunch,yayla corba,bahcivan kebabi,bezelye yemegi,bulgur pilavi,"yogurt, mevsim salata, limonata"
2024-03-04,monday,ahisari,15.48,864,lunch,kis corbasi,ankara tava,mucver,"zy.taze fasulye, zy.barbunya","meyve, salata, gazoz"
2024-03-05,tuesday,ahisari,12.38,874,lunch,ezogelin corba,etli guvec,sebze sote,bulgur pilavi,"cacik, meyve, soda"
2024-03-06,wednesday,ahisari,9.01,907,lunch,mantar corba,kibrit kebabi,zy.kereviz,bulgur pilavi,"salata, meyve, gazoz"
2024-03-07,thursday,ahisari,11.86,1055,lunch,mercimek corba,et doner,zy.enginar,bulgur pilavi,"salata, ayran, meyve"
2024-03-08,friday,ahisari,6.98,823,lunch,domates corba,eksili kofte,karnibahar yemegi,"soslu makarna, su boregi","komposto, mevsim salata, meyve"
2024-03-09,saturday,ahisari,8.7,80,lunch,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"tursu, cevizli baklava, yogurt"
2024-03-10,sunday,ahisari,12.36,73,lunch,,kiymali karnabahar,karnabahar graten,kuskus,"meyve, kadayifli muhallebi, mevsim salata"
2024-03-11,monday,ahisari,17.45,636,lunch,suzme mercimek corba,tavuk izgara,patatesli mantar graten,"soslu makarna, misirli pirinc pilavi","soda, roka+turp salata, meyve"
2024-03-12,tuesday,ahisari,16.08,445,lunch,saray corba,etli taze fasulye,zy. taze fasulye,bulgur pilavi,"sutlac, mevsim salata, komposto"
2024-03-13,wednesday,ahisari,13.55,468,lunch,cennet corba,kiymali ispanak,ispanak yemegi,"patatesli gul boregi, soslu spagetti","supangle, meyve, mevsim salata"
2024-03-14,thursday,ahisari,14.43,341,lunch,tarhana corba,etli barbunya,sicak barbunya,meyhane pilavi,"tursu, mevsim salata, gazoz"
2024-03-15,friday,ahisari,9.86,434,lunch,sehriye corba,ciftlik kebabi,mucver,"mercimekli bulgur pilavi, zerdecalli pirinc pilavi","yogurt, meyve, soda"
2024-03-16,saturday,ahisari,11.23,43,lunch,ezogelin corba,kiymali yesil mercimek,yesil mercimek yemegi,"su boregi, eriste","meyve, mevsim salata, meyve suyu"
2024-03-17,sunday,ahisari,12.26,54,lunch,mahluta corba,karisik musakka,nohutlu kabak,bulgur pilavi,"cacik, mor salata, baklava"
2024-03-18,monday,ahisari,15.26,507,lunch,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-03-19,tuesday,ahisari,14.61,520,lunch,sehriye corba,etli turlu,sebze turlu,kuskus,"ayran, cilekli puding, mevsim salata"
2024-03-20,wednesday,ahisari,6.7,671,lunch,mantar corba,ispanakli tavuk sarma,saksuka,"bolonez soslu makarna, garniturlu pirinc pilavi","limonata, mozaik pasta, salata"
2024-03-21,thursday,ahisari,10.53,627,lunch,antep corba,etli manti,vegan manti,"saksuka, zy.barbunya","fanta, kisir, meyve"
2024-03-22,friday,ahisari,8.7,563,lunch,krutonlu domates corba,tavuk kok kanat,yesil mercimek yemegi,"arpa sehriye pilavi, melek pilavi","piyaz, soda, meyve"
2024-03-23,saturday,ahisari,11.88,110,lunch,tutmac corba,pizza,mucver,"soslu spagetti, zy.orbit fasulye","gazoz, mevsim salata, trilece"
2024-03-24,sunday,ahisari,14.83,78,lunch,cennet corba,eksili kofte,mantar sote,"bulgur pilavi, melek pilavi","ayran, yesil salata, kazandibi"
2024-03-25,monday,ahisari,8.24,531,lunch,yayla corba,etli bezelye,bezelye yemegi,"bulgur pilavi, misirli pirinc pilavi","meyve, mevsim salata, limonata"
2024-03-26,tuesday,ahisari,13.48,704,lunch,domates corba,misket kofte,zy.enginar,soslu makarna,"turp salata, meyve, ayran"
2024-03-27,wednesday,ahisari,21.5,583,lunch,domates corba,pilic portekiz,falafel,"garniturlu pirinc pilavi, kori soslu makarna","zerde, ayran, mercimek kofte"
2024-03-28,thursday,ahisari,19.7,449,lunch,sifa corba,kiymali yesil mercimek,yesil mercimek yemegi,"gul boregi, soslu makarna","meyve, mevsim salata, mozaik pasta"
2024-03-29,friday,ahisari,22.19,505,lunch,koy corbasi,kibrit kebabi,zy. bruksel lahanasi,bulgur pilavi,"mevsim salata, cevizli kadayif, soda"
2024-03-30,saturday,ahisari,25.31,66,lunch,mantar corba,izmir kofte,harput kofte,soslu spagetti,"ayran, mevsim salata, meyve"
2024-03-31,sunday,ahisari,23.2,38,lunch,tarhana corba,etli patates oturtma,patates yemegi,peynirli makarna,"meyve suyu, mevsim salata, hosmerim"
2024-04-01,monday,ahisari,23.77,396,lunch,mercimek corba,sucuklu kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"tursu, meyve, soda"
2024-04-02,tuesday,ahisari,25.06,564,lunch,ezogelin corba,izmir kofte,harput kofte,"firin makarna, zerdecalli pirinc pilavi","coleslaw salata, meyve, soda"
2024-04-03,wednesday,ahisari,18.56,657,lunch,mercimek corba,tavuk doner,zy. orbit fasulye,bulgur pilavi,"ayran, mevsim salata, meyve"
2024-04-04,thursday,ahisari,18.08,411,lunch,domates corba,eksili kofte,falafel,"bulgur pilavi, su boregi","salata, meyve, gazoz"
2024-04-05,friday,ahisari,20.19,149,lunch,tarhana corba,etli mantar sote,sebzeli mantar sote,soslu makarna,"meyve, salata, mutebbel"
2024-04-06,saturday,ahisari,19.9,16,lunch,sehriye corba,kiymali yesil mercimek,yesil mercimek yemegi,"soslu spagetti, su boregi","kazandibi, meyve, salata"
2024-04-07,sunday,ahisari,15.3,11,lunch,tarhana corba,ciftlik kebabi,sebze buketi,"bulgur pilavi, melek pilavi","meyve suyu, mercimek kofte, cevizli kadayif"
2024-04-08,monday,ahisari,15.55,4,lunch,krutonlu domates corba,firin tavuk but,zy.barbunya,"gokkusagi pilavi, bulgur pilavi","ayran, mevsim salata, peynir tatlisi"
2024-04-09,tuesday,ahisari,16.95,9,lunch,ezogelin corba,et doner,mucver,"misirli pirinc pilavi, bulgur pilavi","fanta, meyve, amerikan salata"
2024-04-10,wednesday,ahisari,16.45,3,lunch,antep corba,garniturlu tavuk sarma,bezelye yemegi,"melek pilavi, bulgur pilavi","mevsim salata, fanta, meyve"
2024-04-11,thursday,ahisari,18.36,1,lunch,mercimek corba,kiymali ispanak,ispanak yemegi,"gul boregi, soslu spagetti","kadayifli muhallebi, meyve, gazoz"
2024-04-12,friday,ahisari,19.31,4,lunch,sebze corba,pizza,saksuka,"sogan halkasi, zy.enginar","fanta, meyve, mercimek kofte"
2024-04-13,saturday,ahisari,19.25,17,lunch,krutonlu domates corba,soslu tavuk biftek,zy. bruksel lahanasi,"firin makarna, nohutlu pirinc pilavi","meyve, mevsim salata, ayran"
2024-04-14,sunday,ahisari,23.31,35,lunch,ezogelin corba,tavuklu sebze guvec,sebze guvec,"kuskus, bulgur pilavi","cacik, meyve, limonata"
2024-04-15,monday,ahisari,24.19,743,lunch,yayla corba,etli nohut,etsiz nohut,bulgur pilavi,"meyve, limonata, damla sakizli muhallebi"
2024-04-16,tuesday,ahisari,26.73,911,lunch,mantar corba,firin kofte,bulgur kofte,zy.orbit fasulye,"komposto, mevsim salata, meyve"
2024-04-17,wednesday,ahisari,25.88,919,lunch,sehriye corba,pureli tas kebabi,sebze buketi,bulgur pilavi,"ayran, kazandibi, salata"
2024-04-18,thursday,ahisari,15.58,656,lunch,koylu corba,etli taze fasulye,etsiz taze fasulye,"misirli pirinc pilavi, bulgur pilavi","tulumba tatlisi, soda, meyve"
2024-04-19,friday,ahisari,13.88,783,lunch,domates corba,eksili kofte,zy. orbit fasulye,"bulgur pilavi, boncuk makarna","meyve, soda, mevsim salata"
2024-04-20,saturday,ahisari,13.68,109,lunch,ezogelin corba,elbasan tava,zy. bruksel lahanasi,"havuclu pirinc pilavi, eriste","mevsim salata, meyve, supangle"
2024-04-21,sunday,ahisari,18.75,106,lunch,suzme mercimek corba,pilic emense,patates graten,firin makarna,"mevsim salata, meyve, sutlac"
2024-04-22,monday,ahisari,20.36,856,lunch,antep corba,firin kofte,falafel,bulgur pilavi,"havuc borani, mevsim salata, soda"
2024-04-23,tuesday,ahisari,19.11,116,lunch,alaca corba,arnavut cigeri,mucver,kuskus makarna,"piyaz, fanta, meyve"
2024-04-24,wednesday,ahisari,25.9,1088,lunch,yayla corba,tavuk but kizartma,zy.enginar,"sehriyeli pirinc pilavi, soslu makarna","ayran, cevizli kadayif, meyve"
2024-04-25,thursday,ahisari,24.05,832,lunch,mantar corba,ciftlik kofte,zy. kereviz,soslu makarna,"cacik, meyve, limonata"
2024-04-26,friday,ahisari,17.78,914,lunch,mercimek corba,cordon bleu,falafel,"eriste, cig kofte","meyve, mevsim salata, soda"
2024-04-27,saturday,ahisari,16.08,65,lunch,tarhana corba,kiymali yesil mercimek,yesil mercimek,"su boregi, soslu makarna","kazandibi, meyve, mevsim salata"
2024-04-28,sunday,ahisari,16.45,88,lunch,mahluta corba,pureli davutpasa kofte,karnabahar yemegi,"soslu makarna, arpa sehriye pilavi","limonata, mevsim salata, meyve"
2024-04-29,monday,ahisari,15.28,931,lunch,mercimek corba,tavuk baget haslama,patates yemegi,bulgur pilavi,"gazoz, meyve, mevsim salata"
2024-04-30,tuesday,ahisari,15.53,568,lunch,koylu corba,etli barbunya,zy.barbunya,"melek pilavi, bulgur pilavi","tursu, meyve, tulumba tatlisi"
2024-05-01,wednesday,ahisari,14.8,205,lunch,mercimek corba,pilic special but,saksuka,"sehriyeli pirinc pilavi, soslu makarna","mor salata, ayran, cevizli kadayif"
2024-05-02,thursday,ahisari,16.31,853,lunch,sehriye corba,pureli rosto kofte,zy.brokoli,"soslu makarna, melek pilavi","limonata, mevsim salata, meyve"
2024-05-03,friday,ahisari,19.12,722,lunch,domates corba,pilic emense,harput kofte,soslu spagetti,"islak kek, meyve, kirmizi pancar salata"
2024-05-04,saturday,ahisari,15.68,97,lunch,koy corbasi,izmir kofte,sebze sote,eriste,"meyve, gazoz, salata"
2024-05-05,sunday,ahisari,15.45,102,lunch,tarhana corba,tavuk haslama,zy.barbunya,"melek pilavi, bulgur pilavi","soda, salata, meyve"
2024-05-06,monday,ahisari,18.28,693,lunch,toyga corba,kabak begendili kebap,kabak kalye,eriste,"meyve, salata, gazoz"
2024-05-07,tuesday,ahisari,21.81,805,lunch,tarhana corba,orman kebabi,bezelye yemegi,bulgur pilavi,"sutlac, meyve, salata"
2024-05-08,wednesday,ahisari,23.55,755,lunch,suzme mercimek corba,meksika soslu tavuk,harput kofte,"sebzeli pirinc pilavi, penne makarna","humus, kola, mor dunya"
2024-05-09,thursday,ahisari,17.36,838,lunch,ezogelin corba,et doner,imambayildi,bulgur pilavi,"meyve, fanta, mevsim salata"
2024-05-10,friday,ahisari,16.28,682,lunch,antep corba,hasanpasa kofte,zy.bamya,bulgur pilavi,"limonata, meyve, mevsim salata"
2024-05-11,saturday,ahisari,15.98,134,lunch,mercimek corba,cordon bleu,sebze buketi,"su boregi, mantar soslu makarna","mevsim salata, kola, meyve"
2024-05-12,sunday,ahisari,20.11,85,lunch,sebze corba,etli bezelye,bezelye yemegi,bulgur pilavi,"yogurt, meyve, kibris tatli, vegan tatli"
2024-05-13,monday,ahisari,14.11,748,lunch,krutonlu domates corba,nohutlu misket kofte,zy.yaprak sarma,"melek pilavi, bulgur pilavi","meyve, mevsim salata, gazoz"
2024-05-14,tuesday,ahisari,16.78,360,lunch,ezogelin corba,patlican oturtma,patlican tava,bulgur pilavi,"cacik, meyve, kazandibi+ vegan tatli"
2024-05-15,wednesday,ahisari,16.98,519,lunch,kafkas corba,tavuk izgara,taze fasulye,"garniturlu pirinc pilavi, soslu spagetti","cig kofte, ayran, meyve"
2024-05-16,thursday,ahisari,16.9,588,lunch,mantar corba,macar gulas,patates graten,bulgur pilavi,"tulumba tatlisi, meyve, limonata"
2024-05-17,friday,ahisari,18.7,501,lunch,krutonlu mercimek corba,meksika soslu tavuk,falafel,"misirli pirinc pilavi, meyhane pilavi","soda, mevsim salata, meyve"
2024-05-18,saturday,ahisari,19.56,121,lunch,domates corba,pizza,mucver,"sogan halkasi, zy. orbit fasulye","kola, meyve, krem sokola"
2024-05-19,sunday,ahisari,16.75,90,lunch,kafkas corba,tavuk haslama,sebze buketi,"bulgur pilavi, melek pilavi","ayran, mevsim salata, kemalpasa, vegan tatli"
2024-05-20,monday,ahisari,18.58,339,lunch,ezogelin corba,mantar soslu tavuk sinitzel,zy.mantar,"soslu spagetti, melek pilavi","kabak tarator, meyve, gazoz"
2024-05-21,tuesday,ahisari,19.2,183,lunch,suzme mercimek corba,pilic topkapi,mucver,"zy. orbit fasulye, sogan halkasi","soda, meyve, mevsim salata"
2024-05-22,wednesday,ahisari,20.9,264,lunch,cerkez corba,tavuk doner,mantar sote,"napoliten soslu makarna, garniturlu pirinc pilavi","mercimek kofte, ayran, meyve"
2024-05-23,thursday,ahisari,18.45,195,lunch,suzme mercimek corba,etli patlican dolma,zy. patlican dolma,"su boregi, makarna","mor lahana salatasi, meyve, kazandibi"
2024-05-24,friday,ahisari,19.9,99,lunch,koylu corba,etli taze fasulye,zy. taze fasulye,"soslu makarna, zerdecalli pirinc pilavi","yogurt, meyve, komposto"
2024-05-25,saturday,ahisari,20.69,120,lunch,yayla corba,pideli kofte,zy.brokoli,"zerdecalli pirinc pilavi, arpa sehriye pilavi","ayran, meyve, soda"
2024-05-26,sunday,ahisari,19.38,66,lunch,antep corba,bahcivan kebabi,zy.taze fasulye,"bulgur pilavi, pirinc pilavi","yogurt, mevsim salata, soda"
2024-05-27,monday,ahisari,18.19,237,lunch,ezogelin corba,bofstrogonof,mantar yemegi,"bulgur pilavi, pirinc pilavi","gazoz, meyve, mevsim salata"
